board_size,coordinates,MN_time,Eval_time,num_times_passed,num_times_failed

1,(1 1),0.000727,0.000753,1,0

2,(1 1),0.000189,0.000353,2,0
2,(1 2),0.000144,0.000338,3,0
2,(2 1),0.000139,0.000336,4,0
2,(2 2),0.000139,0.000353,5,0

3,(1 1),0.000455,0.000406,6,0
3,(1 2),0.000355,0.000394,7,0
3,(1 3),0.000369,0.000401,8,0
3,(2 1),0.000447,0.000447,9,0
3,(2 2),0.000153,0.000328,10,0
3,(2 3),0.000366,0.000404,11,0
3,(3 1),0.000454,0.000404,12,0
3,(3 2),0.000420,0.000488,13,0
3,(3 3),0.000408,0.000393,14,0

4,(1 1),0.001691,0.000471,15,0
4,(1 2),0.000455,0.000534,16,0
4,(1 3),0.000450,0.000501,17,0
4,(1 4),0.001634,0.000439,18,0
4,(2 1),0.000445,0.000547,19,0
4,(2 2),0.001055,0.000434,20,0
4,(2 3),0.001016,0.000455,21,0
4,(2 4),0.000757,0.000500,22,0
4,(3 1),0.000484,0.000524,23,0
4,(3 2),0.001062,0.000431,24,0
4,(3 3),0.001229,0.000523,25,0
4,(3 4),0.000661,0.000621,26,0
4,(4 1),0.001652,0.000546,27,0
4,(4 2),0.000933,0.000633,28,0
4,(4 3),0.000674,0.000529,29,0
4,(4 4),0.001701,0.000451,30,0

5,(1 1),0.000564,0.000596,31,0
5,(1 2),0.000579,0.000579,32,0
5,(1 3),0.000576,0.000705,33,0
5,(1 4),0.000686,0.000607,34,0
5,(1 5),0.001637,0.000570,35,0
5,(2 1),0.000736,0.000652,36,0
5,(2 2),0.000688,0.000642,37,0
5,(2 3),0.000638,0.000619,38,0
5,(2 4),0.000579,0.000588,39,0
5,(2 5),0.002035,0.000713,40,0
5,(3 1),0.000574,0.000589,41,0
5,(3 2),0.000582,0.000707,42,0
5,(3 3),0.000572,0.000715,43,0
5,(3 4),0.000978,0.000597,44,0
5,(3 5),0.000595,0.000571,45,0
5,(4 1),0.000937,0.000575,46,0
5,(4 2),0.000579,0.000623,47,0
5,(4 3),0.000985,0.000699,48,0
5,(4 4),0.001747,0.000594,49,0
5,(4 5),0.000697,0.000647,50,0
5,(5 1),0.001744,0.000754,51,0
5,(5 2),0.002543,0.000729,52,0
5,(5 3),0.000695,0.000590,53,0
5,(5 4),0.000570,0.000669,54,0
5,(5 5),0.000617,0.000583,55,0

6,(1 1),0.172038,0.000656,56,0
6,(1 2),0.002389,0.000802,57,0
6,(1 3),0.028238,0.000825,58,0
6,(1 4),0.002542,0.000801,59,0
6,(1 5),0.028066,0.000766,60,0
6,(1 6),0.172442,0.000643,61,0
6,(2 1),0.016311,0.000822,62,0
6,(2 2),0.197594,0.000765,63,0
6,(2 3),0.012766,0.000935,64,0
6,(2 4),0.012520,0.000833,65,0
6,(2 5),0.197530,0.000784,66,0
6,(2 6),0.020983,0.000787,67,0
6,(3 1),0.027695,0.000918,68,0
6,(3 2),0.015416,0.000845,69,0
6,(3 3),0.151143,0.000889,70,0
6,(3 4),0.150045,0.000928,71,0
6,(3 5),0.013856,0.000730,72,0
6,(3 6),0.010186,0.000849,73,0
6,(4 1),0.000699,0.000681,74,0
6,(4 2),0.024263,0.000838,75,0
6,(4 3),0.149087,0.000804,76,0
6,(4 4),0.152477,0.000867,77,0
6,(4 5),0.007621,0.000893,78,0
6,(4 6),0.035770,0.000863,79,0
6,(5 1),0.014275,0.000709,80,0
6,(5 2),0.197325,0.000784,81,0
